Row_ID,Order_ID,Order_Date,Ship_Date,Customer_ID,Region,Category,Sub_Category,Sales,Profit
51,CA-2015-115742,4/18/2015,4/22/2015,DP-13000,Central,Office Supplies,Labels,75.18,35.3346
52,CA-2015-115742,4/18/2015,4/22/2015,DP-13000,Central,Furniture,Furnishings,6.16,2.9568
53,CA-2015-115742,4/18/2015,4/22/2015,DP-13000,Central,Furniture,Chairs,89.99,17.0981
54,CA-2016-105816,12/11/2016,12/17/2016,JM-15265,East,Office Supplies,Fasteners,15.26,6.2566
55,CA-2016-105816,12/11/2016,12/17/2016,JM-15265,East,Technology,Phones,1029.95,298.6855
56,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,East,Office Supplies,Storage,208.56,52.14
57,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,East,Office Supplies,Paper,32.4,15.552
58,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,East,Furniture,Chairs,319.41,7.098
59,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,East,Office Supplies,Paper,14.56,6.9888
60,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,East,Technology,Accessories,30,3.3
61,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,East,Office Supplies,Binders,48.48,16.362
62,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,East,Office Supplies,Art,1.68,0.84
63,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,West,Technology,Accessories,13.98,6.1512
64,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,West,Office Supplies,Binders,25.824,9.3612
65,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,West,Office Supplies,Paper,146.73,68.9631
66,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,West,Furniture,Furnishings,79.76,22.3328
67,US-2015-164175,4/30/2015,5/5/2015,PS-18970,Central,Furniture,Chairs,213.115,-15.2225
68,CA-2014-106376,12/5/2014,12/10/2014,BS-11590,West,Office Supplies,Art,1113.024,111.3024
69,CA-2014-106376,12/5/2014,12/10/2014,BS-11590,West,Technology,Phones,167.968,62.988
70,CA-2016-119823,6/4/2016,6/6/2016,KD-16270,South,Office Supplies,Paper,75.88,35.6636
71,CA-2016-106075,9/18/2016,9/23/2016,HM-14980,East,Office Supplies,Binders,4.616,1.731
72,CA-2017-114440,9/14/2017,9/17/2017,TB-21520,Central,Office Supplies,Paper,19.05,8.763
73,US-2015-134026,4/26/2015,5/2/2015,JE-15745,South,Furniture,Chairs,831.936,-114.3912
74,US-2015-134026,4/26/2015,5/2/2015,JE-15745,South,Furniture,Furnishings,97.04,1.213
75,US-2015-134026,4/26/2015,5/2/2015,JE-15745,South,Office Supplies,Storage,72.784,-18.196
76,US-2017-118038,12/9/2017,12/11/2017,KB-16600,Central,Office Supplies,Binders,1.248,-1.9344
77,US-2017-118038,12/9/2017,12/11/2017,KB-16600,Central,Furniture,Furnishings,9.708,-5.8248
78,US-2017-118038,12/9/2017,12/11/2017,KB-16600,Central,Office Supplies,Storage,27.24,2.724
79,US-2014-147606,11/26/2014,12/1/2014,JE-15745,Central,Furniture,Furnishings,19.3,-14.475
80,CA-2016-127208,6/12/2016,6/15/2016,SC-20770,South,Office Supplies,Appliances,208.16,56.2032
81,CA-2016-127208,6/12/2016,6/15/2016,SC-20770,South,Office Supplies,Binders,16.74,8.0352
82,CA-2014-139451,10/12/2014,10/16/2014,DN-13690,West,Office Supplies,Art,14.9,4.172
83,CA-2014-139451,10/12/2014,10/16/2014,DN-13690,West,Office Supplies,Storage,21.39,6.2031
84,CA-2015-149734,9/3/2015,9/8/2015,JC-16105,South,Office Supplies,Envelopes,200.984,62.8075
85,US-2017-119662,11/13/2017,11/16/2017,CS-12400,Central,Office Supplies,Storage,230.376,-48.9549
86,CA-2017-140088,5/28/2017,5/30/2017,PO-18865,South,Furniture,Chairs,301.96,33.2156
87,CA-2017-155558,10/26/2017,11/2/2017,PG-18895,Central,Technology,Accessories,19.99,6.7966
88,CA-2017-155558,10/26/2017,11/2/2017,PG-18895,Central,Office Supplies,Labels,6.16,2.9568
89,CA-2016-159695,4/5/2016,4/10/2016,GM-14455,Central,Office Supplies,Storage,158.368,13.8572
90,CA-2016-109806,9/17/2016,9/22/2016,JS-15685,West,Office Supplies,Art,20.1,6.633
91,CA-2016-109806,9/17/2016,9/22/2016,JS-15685,West,Technology,Phones,73.584,8.2782
92,CA-2016-109806,9/17/2016,9/22/2016,JS-15685,West,Office Supplies,Paper,6.48,3.1104
93,CA-2015-149587,1/31/2015,2/5/2015,KB-16315,Central,Office Supplies,Paper,12.96,6.2208
94,CA-2015-149587,1/31/2015,2/5/2015,KB-16315,Central,Furniture,Furnishings,53.34,16.5354
95,CA-2015-149587,1/31/2015,2/5/2015,KB-16315,Central,Office Supplies,Binders,32.96,16.1504
96,US-2017-109484,11/6/2017,11/12/2017,RB-19705,West,Office Supplies,Binders,5.682,-3.788
97,CA-2017-161018,11/9/2017,11/11/2017,PN-18775,East,Furniture,Furnishings,96.53,40.5426
98,CA-2017-157833,6/17/2017,6/20/2017,KD-16345,West,Office Supplies,Binders,51.312,17.9592
99,CA-2016-149223,9/6/2016,9/11/2016,ER-13855,Central,Office Supplies,Appliances,77.88,22.5852
100,CA-2016-158568,8/29/2016,9/2/2016,RB-19465,Central,Office Supplies,Paper,64.624,22.6184
101,CA-2016-158568,8/29/2016,9/2/2016,RB-19465,Central,Technology,Accessories,95.976,-10.7973
102,CA-2016-158568,8/29/2016,9/2/2016,RB-19465,Central,Office Supplies,Binders,1.788,-3.0396
103,CA-2016-129903,12/1/2016,12/4/2016,GZ-14470,Central,Office Supplies,Paper,23.92,11.7208
104,US-2015-156867,11/13/2015,11/17/2015,LC-16870,West,Technology,Accessories,238.896,-26.8758
105,US-2015-156867,11/13/2015,11/17/2015,LC-16870,West,Furniture,Furnishings,102.36,-3.8385
106,US-2015-156867,11/13/2015,11/17/2015,LC-16870,West,Office Supplies,Binders,36.882,-25.8174
107,CA-2017-119004,11/23/2017,11/28/2017,JM-15250,South,Technology,Accessories,74.112,17.6016
108,CA-2017-119004,11/23/2017,11/28/2017,JM-15250,South,Technology,Phones,27.992,2.0994
109,CA-2017-119004,11/23/2017,11/28/2017,JM-15250,South,Office Supplies,Art,3.304,1.0738
110,CA-2015-129476,10/15/2015,10/20/2015,PA-19060,Central,Technology,Accessories,339.96,67.992
111,CA-2017-146780,12/25/2017,12/30/2017,CV-12805,East,Furniture,Furnishings,41.96,10.9096
112,CA-2016-128867,11/3/2016,11/10/2016,CL-12565,Central,Office Supplies,Art,75.96,22.788
113,CA-2016-128867,11/3/2016,11/10/2016,CL-12565,Central,Office Supplies,Binders,27.24,13.3476
114,CA-2014-115259,8/25/2014,8/27/2014,RC-19960,East,Office Supplies,Fasteners,40.096,14.5348
115,CA-2014-115259,8/25/2014,8/27/2014,RC-19960,East,Office Supplies,Envelopes,4.72,1.652
116,CA-2014-115259,8/25/2014,8/27/2014,RC-19960,East,Office Supplies,Paper,23.976,7.4925
117,CA-2014-115259,8/25/2014,8/27/2014,RC-19960,East,Office Supplies,Envelopes,130.464,44.0316
118,CA-2015-110457,3/2/2015,3/6/2015,DK-13090,West,Furniture,Tables,787.53,165.3813
119,US-2015-136476,4/5/2015,4/10/2015,GG-14650,South,Office Supplies,Binders,157.794,-115.7156
120,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,East,Furniture,Furnishings,47.04,18.3456
121,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,East,Office Supplies,Binders,30.84,13.878
122,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,East,Office Supplies,Storage,226.56,63.4368
123,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,East,Office Supplies,Envelopes,115.02,51.759
124,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,East,Technology,Phones,68.04,19.7316
125,US-2014-152030,12/26/2014,12/28/2014,AD-10180,Central,Furniture,Chairs,600.558,-8.5794
126,US-2014-134614,9/20/2014,9/25/2014,PF-19165,Central,Furniture,Tables,617.7,-407.682
127,US-2017-107272,11/5/2017,11/12/2017,TS-21610,West,Office Supplies,Binders,2.388,-1.8308
128,US-2017-107272,11/5/2017,11/12/2017,TS-21610,West,Office Supplies,Storage,243.992,30.499
129,US-2016-125969,11/6/2016,11/10/2016,LS-16975,West,Furniture,Chairs,81.424,-9.1602
130,US-2016-125969,11/6/2016,11/10/2016,LS-16975,West,Furniture,Furnishings,238.56,26.2416
131,US-2017-164147,2/2/2017,2/5/2017,DW-13585,East,Technology,Phones,59.97,-11.994
132,US-2017-164147,2/2/2017,2/5/2017,DW-13585,East,Office Supplies,Paper,78.304,29.364
133,US-2017-164147,2/2/2017,2/5/2017,DW-13585,East,Office Supplies,Fasteners,21.456,6.9732
134,CA-2016-145583,10/13/2016,10/19/2016,LC-16885,West,Office Supplies,Paper,20.04,9.6192
135,CA-2016-145583,10/13/2016,10/19/2016,LC-16885,West,Office Supplies,Paper,35.44,16.6568
136,CA-2016-145583,10/13/2016,10/19/2016,LC-16885,West,Office Supplies,Art,11.52,3.456
137,CA-2016-145583,10/13/2016,10/19/2016,LC-16885,West,Office Supplies,Fasteners,4.02,1.9698
138,CA-2016-145583,10/13/2016,10/19/2016,LC-16885,West,Office Supplies,Binders,76.176,26.6616
139,CA-2016-145583,10/13/2016,10/19/2016,LC-16885,West,Office Supplies,Supplies,65.88,18.4464
140,CA-2016-145583,10/13/2016,10/19/2016,LC-16885,West,Furniture,Furnishings,43.12,20.6976
141,CA-2016-110366,9/5/2016,9/7/2016,JD-15895,East,Furniture,Furnishings,82.8,10.35
142,CA-2017-106180,9/18/2017,9/23/2017,SH-19975,West,Office Supplies,Art,8.82,2.3814
143,CA-2017-106180,9/18/2017,9/23/2017,SH-19975,West,Office Supplies,Envelopes,10.86,5.1042
144,CA-2017-106180,9/18/2017,9/23/2017,SH-19975,West,Office Supplies,Paper,143.7,68.976
145,CA-2017-155376,12/22/2017,12/27/2017,SG-20080,Central,Office Supplies,Appliances,839.43,218.2518
146,CA-2015-110744,9/7/2015,9/12/2015,HA-14920,West,Office Supplies,Storage,671.93,20.1579
147,CA-2014-110072,10/22/2014,10/28/2014,MG-17680,East,Furniture,Furnishings,93.888,12.9096
148,CA-2016-114489,12/5/2016,12/9/2016,JE-16165,Central,Technology,Phones,384.45,103.8015
149,CA-2016-114489,12/5/2016,12/9/2016,JE-16165,Central,Technology,Phones,149.97,5.9988
150,CA-2016-114489,12/5/2016,12/9/2016,JE-16165,Central,Furniture,Chairs,1951.84,585.552
151,CA-2016-114489,12/5/2016,12/9/2016,JE-16165,Central,Office Supplies,Binders,171.55,80.6285
152,CA-2016-158834,3/13/2016,3/16/2016,TW-21025,West,Office Supplies,Appliances,157.92,17.766
153,CA-2016-158834,3/13/2016,3/16/2016,TW-21025,West,Technology,Phones,203.184,15.2388
154,CA-2015-124919,5/31/2015,6/2/2015,SP-20650,West,Office Supplies,Paper,58.38,26.271
155,CA-2015-124919,5/31/2015,6/2/2015,SP-20650,West,Office Supplies,Paper,105.52,48.5392
156,CA-2015-124919,5/31/2015,6/2/2015,SP-20650,West,Office Supplies,Storage,80.88,21.0288
157,CA-2015-118948,5/28/2015,6/3/2015,NK-18490,West,Office Supplies,Art,6.63,1.7901
158,CA-2014-104269,3/1/2014,3/6/2014,DB-13060,West,Furniture,Chairs,457.568,51.4764
159,CA-2016-114104,11/20/2016,11/24/2016,NP-18670,Central,Office Supplies,Labels,14.62,6.8714
160,CA-2016-114104,11/20/2016,11/24/2016,NP-18670,Central,Technology,Phones,944.93,236.2325
161,CA-2016-162733,5/11/2016,5/12/2016,TT-21070,West,Office Supplies,Paper,5.98,2.691
162,CA-2015-119697,12/28/2015,12/31/2015,EM-13960,East,Technology,Accessories,54.384,1.3596
163,CA-2016-154508,11/16/2016,11/20/2016,RD-19900,West,Office Supplies,Envelopes,28.4,13.348
164,CA-2016-113817,11/7/2016,11/11/2016,MJ-17740,West,Office Supplies,Binders,27.68,9.688
165,CA-2014-139892,9/8/2014,9/12/2014,BM-11140,Central,Office Supplies,Art,9.936,2.7324
166,CA-2014-139892,9/8/2014,9/12/2014,BM-11140,Central,Technology,Machines,8159.952,-1359.992
167,CA-2014-139892,9/8/2014,9/12/2014,BM-11140,Central,Office Supplies,Storage,275.928,-58.6347
168,CA-2014-139892,9/8/2014,9/12/2014,BM-11140,Central,Furniture,Chairs,1740.06,-24.858
169,CA-2014-139892,9/8/2014,9/12/2014,BM-11140,Central,Office Supplies,Art,32.064,6.8136
170,CA-2014-139892,9/8/2014,9/12/2014,BM-11140,Central,Office Supplies,Appliances,177.98,-453.849
171,CA-2014-139892,9/8/2014,9/12/2014,BM-11140,Central,Technology,Phones,143.976,8.9985
172,CA-2014-118962,8/5/2014,8/9/2014,CS-12130,West,Office Supplies,Paper,20.94,9.8418
173,CA-2014-118962,8/5/2014,8/9/2014,CS-12130,West,Office Supplies,Paper,110.96,53.2608
174,CA-2014-118962,8/5/2014,8/9/2014,CS-12130,West,Furniture,Chairs,340.144,21.259
175,US-2014-100853,9/14/2014,9/19/2014,JB-15400,Central,Office Supplies,Appliances,52.448,-131.12
176,US-2014-100853,9/14/2014,9/19/2014,JB-15400,Central,Office Supplies,Labels,20.16,6.552
177,US-2017-152366,4/21/2017,4/25/2017,SJ-20500,Central,Office Supplies,Appliances,97.264,-243.16
178,US-2015-101511,11/21/2015,11/23/2015,JE-15745,East,Furniture,Chairs,396.802,-11.3372
179,US-2015-101511,11/21/2015,11/23/2015,JE-15745,East,Office Supplies,Supplies,15.88,-3.7715
180,CA-2015-137225,12/15/2015,12/19/2015,JK-15640,East,Office Supplies,Art,3.28,1.4104
181,CA-2014-166191,12/5/2014,12/9/2014,DK-13150,Central,Office Supplies,Storage,24.816,1.8612
182,CA-2014-166191,12/5/2014,12/9/2014,DK-13150,Central,Technology,Accessories,408.744,76.6395
183,CA-2014-158274,11/19/2014,11/24/2014,RM-19675,South,Technology,Phones,503.96,131.0296
184,CA-2014-158274,11/19/2014,11/24/2014,RM-19675,South,Technology,Phones,149.95,41.986
185,CA-2014-158274,11/19/2014,11/24/2014,RM-19675,South,Technology,Accessories,29,7.25
186,CA-2016-105018,11/28/2016,12/2/2016,SK-19990,East,Office Supplies,Binders,7.16,3.4368
187,CA-2014-123260,8/26/2014,8/30/2014,FM-14290,West,Technology,Accessories,176.8,22.984
188,CA-2016-157000,7/16/2016,7/22/2016,AM-10360,Central,Office Supplies,Storage,37.224,3.7224
189,CA-2016-157000,7/16/2016,7/22/2016,AM-10360,Central,Office Supplies,Paper,20.016,6.255
190,CA-2015-102281,10/12/2015,10/14/2015,MP-17470,East,Furniture,Bookcases,899.136,112.392
191,CA-2015-102281,10/12/2015,10/14/2015,MP-17470,East,Technology,Phones,71.76,20.0928
192,CA-2015-102281,10/12/2015,10/14/2015,MP-17470,East,Office Supplies,Paper,51.84,24.8832
193,CA-2015-102281,10/12/2015,10/14/2015,MP-17470,East,Furniture,Bookcases,626.352,46.9764
194,CA-2015-102281,10/12/2015,10/14/2015,MP-17470,East,Office Supplies,Art,19.9,6.567
195,CA-2015-131457,10/31/2015,11/6/2015,MZ-17515,West,Office Supplies,Envelopes,14.28,6.7116
196,CA-2014-140004,3/21/2014,3/25/2014,CB-12025,East,Office Supplies,Art,7.408,1.2038
197,CA-2014-140004,3/21/2014,3/25/2014,CB-12025,East,Office Supplies,Art,6.048,1.5876
198,CA-2017-107720,11/6/2017,11/13/2017,VM-21685,East,Office Supplies,Storage,46.26,12.0276
199,US-2017-124303,7/6/2017,7/13/2017,FH-14365,East,Office Supplies,Binders,2.946,-2.2586
200,US-2017-124303,7/6/2017,7/13/2017,FH-14365,East,Office Supplies,Paper,16.056,5.8203
201,CA-2017-105074,6/24/2017,6/29/2017,MB-17305,East,Office Supplies,Paper,21.744,6.795
202,CA-2014-133690,8/3/2014,8/5/2014,BS-11755,West,Furniture,Tables,218.75,-161.875
203,CA-2014-133690,8/3/2014,8/5/2014,BS-11755,West,Office Supplies,Appliances,2.6,0.2925
204,US-2017-116701,12/17/2017,12/21/2017,LC-17140,Central,Office Supplies,Appliances,66.284,-178.9668
205,CA-2017-126382,6/3/2017,6/7/2017,HK-14890,South,Furniture,Furnishings,35.168,9.6712
206,CA-2017-108329,12/9/2017,12/14/2017,LE-16810,West,Technology,Phones,444.768,44.4768
207,CA-2017-135860,12/1/2017,12/7/2017,JH-15985,Central,Office Supplies,Storage,83.92,5.8744
208,CA-2017-135860,12/1/2017,12/7/2017,JH-15985,Central,Technology,Phones,131.98,35.6346
209,CA-2017-135860,12/1/2017,12/7/2017,JH-15985,Central,Office Supplies,Binders,15.92,7.4824
210,CA-2017-135860,12/1/2017,12/7/2017,JH-15985,Central,Office Supplies,Fasteners,52.29,16.2099
211,CA-2017-135860,12/1/2017,12/7/2017,JH-15985,Central,Office Supplies,Storage,91.99,3.6796
212,CA-2015-101007,2/9/2015,2/13/2015,MS-17980,Central,Technology,Accessories,20.8,6.5
213,CA-2015-146262,1/2/2015,1/9/2015,VW-21775,East,Office Supplies,Labels,23.68,8.88
214,CA-2015-146262,1/2/2015,1/9/2015,VW-21775,East,Furniture,Bookcases,452.45,-244.323
215,CA-2015-146262,1/2/2015,1/9/2015,VW-21775,East,Technology,Phones,62.982,-14.6958
216,CA-2015-146262,1/2/2015,1/9/2015,VW-21775,East,Technology,Machines,1188,-950.4
217,CA-2015-146262,1/2/2015,1/9/2015,VW-21775,East,Technology,Accessories,89.584,4.4792
218,CA-2016-130162,10/28/2016,11/1/2016,JH-15910,West,Office Supplies,Storage,93.06,26.0568
219,CA-2016-130162,10/28/2016,11/1/2016,JH-15910,West,Technology,Phones,302.376,22.6782
220,CA-2015-169397,12/24/2015,12/27/2015,JB-15925,East,Office Supplies,Fasteners,5.584,1.8148
221,CA-2015-169397,12/24/2015,12/27/2015,JB-15925,East,Office Supplies,Paper,22.704,8.2302
222,CA-2015-169397,12/24/2015,12/27/2015,JB-15925,East,Office Supplies,Binders,19.776,-13.8432
223,CA-2015-169397,12/24/2015,12/27/2015,JB-15925,East,Furniture,Furnishings,72.704,19.0848
224,CA-2015-169397,12/24/2015,12/27/2015,JB-15925,East,Technology,Machines,479.988,-383.9904
225,CA-2015-169397,12/24/2015,12/27/2015,JB-15925,East,Office Supplies,Art,27.168,2.7168
226,CA-2015-163055,8/9/2015,8/16/2015,DS-13180,Central,Office Supplies,Art,2.2,0.968
227,CA-2015-163055,8/9/2015,8/16/2015,DS-13180,Central,Furniture,Tables,622.45,136.939
228,CA-2015-163055,8/9/2015,8/16/2015,DS-13180,Central,Office Supplies,Storage,21.98,0.2198
229,US-2015-145436,2/28/2015,3/4/2015,VD-21670,South,Furniture,Chairs,161.568,-28.2744
230,US-2015-145436,2/28/2015,3/4/2015,VD-21670,South,Furniture,Chairs,389.696,43.8408
231,US-2014-156216,9/13/2014,9/17/2014,EA-14035,South,Office Supplies,Binders,18.648,-12.432
232,US-2017-100930,4/7/2017,4/12/2017,CS-12400,South,Furniture,Tables,233.86,-102.048
233,US-2017-100930,4/7/2017,4/12/2017,CS-12400,South,Furniture,Tables,620.6145,-248.2458
234,US-2017-100930,4/7/2017,4/12/2017,CS-12400,South,Office Supplies,Binders,5.328,-3.552
235,US-2017-100930,4/7/2017,4/12/2017,CS-12400,South,Furniture,Furnishings,258.072,0
236,US-2017-100930,4/7/2017,4/12/2017,CS-12400,South,Technology,Accessories,617.976,-7.7247
237,CA-2017-160514,11/12/2017,11/16/2017,DB-13120,West,Office Supplies,Paper,10.56,4.752
238,CA-2016-157749,6/4/2016,6/9/2016,KL-16645,Central,Office Supplies,Paper,25.92,9.396
239,CA-2016-157749,6/4/2016,6/9/2016,KL-16645,Central,Furniture,Furnishings,419.68,-356.728
240,CA-2016-157749,6/4/2016,6/9/2016,KL-16645,Central,Furniture,Furnishings,11.688,-4.6752
241,CA-2016-157749,6/4/2016,6/9/2016,KL-16645,Central,Technology,Phones,31.984,11.1944
242,CA-2016-157749,6/4/2016,6/9/2016,KL-16645,Central,Furniture,Tables,177.225,-120.513
243,CA-2016-157749,6/4/2016,6/9/2016,KL-16645,Central,Furniture,Furnishings,4.044,-2.8308
244,CA-2016-157749,6/4/2016,6/9/2016,KL-16645,Central,Office Supplies,Art,7.408,1.2038
245,CA-2014-131926,6/1/2014,6/6/2014,DW-13480,Central,Furniture,Chairs,2001.86,580.5394
246,CA-2014-131926,6/1/2014,6/6/2014,DW-13480,Central,Office Supplies,Storage,166.72,41.68
247,CA-2014-131926,6/1/2014,6/6/2014,DW-13480,Central,Office Supplies,Paper,47.88,23.94
248,CA-2014-131926,6/1/2014,6/6/2014,DW-13480,Central,Office Supplies,Appliances,1503.25,496.0725
249,CA-2014-131926,6/1/2014,6/6/2014,DW-13480,Central,Office Supplies,Paper,25.92,12.4416
250,CA-2016-154739,12/10/2016,12/15/2016,LH-17155,West,Furniture,Chairs,321.568,28.1372
251,CA-2016-145625,9/11/2016,9/17/2016,KC-16540,West,Office Supplies,Paper,7.61,3.5767
252,CA-2016-145625,9/11/2016,9/17/2016,KC-16540,West,Technology,Accessories,3347.37,636.0003
253,CA-2016-146941,12/10/2016,12/13/2016,DL-13315,East,Office Supplies,Storage,80.58,22.5624
254,CA-2016-146941,12/10/2016,12/13/2016,DL-13315,East,Office Supplies,Envelopes,361.92,162.864
255,US-2015-159982,11/28/2015,12/4/2015,DR-12880,Central,Furniture,Furnishings,12.132,-8.4924
256,US-2015-159982,11/28/2015,12/4/2015,DR-12880,Central,Office Supplies,Storage,82.368,-19.5624
257,US-2015-159982,11/28/2015,12/4/2015,DR-12880,Central,Office Supplies,Storage,53.92,4.044
258,US-2015-159982,11/28/2015,12/4/2015,DR-12880,Central,Technology,Phones,647.904,56.6916
259,CA-2017-163139,12/1/2017,12/3/2017,CC-12670,East,Technology,Accessories,20.37,6.9258
260,CA-2017-163139,12/1/2017,12/3/2017,CC-12670,East,Office Supplies,Storage,221.55,6.6465
261,CA-2017-163139,12/1/2017,12/3/2017,CC-12670,East,Office Supplies,Binders,17.52,6.132
262,US-2017-155299,6/8/2017,6/12/2017,Dl-13600,Central,Office Supplies,Appliances,1.624,-4.466
263,US-2014-106992,9/19/2014,9/21/2014,SB-20290,Central,Technology,Machines,3059.982,-509.997
264,US-2014-106992,9/19/2014,9/21/2014,SB-20290,Central,Technology,Machines,2519.958,-251.9958
